VARYING,,,,
,Pooling polynomial degree,,,
,4,0.011,2.03,1
,4,0.012,2.09,1
,4,0.013,2.09,1
,4,0.014,2.09,1
,4,0.015,2.03,1
,4,0.016,2.03,1
,4,0.017,1.98,1
,4,0.018,1.98,1
,4,0.019,1.98,1
,4,0.020,1.98,1
,4,0.021,1.98,1
,4,0.022,1.98,1
,4,0.023,1.98,1
,4,0.024,1.98,1
,4,0.025,1.98,1
,4,0.026,1.98,1
,4,0.027,1.98,1
,4,0.028,1.98,1
,4,0.029,1.98,1
,4,0.030,2.03,1
,4,0.031,2.03,1
,4,0.032,2.03,1
,4,0.033,2.03,1
,4,0.034,2.03,1
,4,0.035,2.03,1
,4,0.036,2.03,1
,4,0.037,2.03,1
,4,0.038,2.03,1
,4,0.039,2.03,1
,4,0.040,2.03,1
,4,0.041,2.03,1
,4,0.042,2.03,1
,4,0.043,2.03,1
,4,0.044,2.03,1
,4,0.045,2.03,1
,4,0.046,2.03,1
,4,0.047,2.03,1
,4,0.048,2.03,1
,4,0.049,2.03,1
,4,0.050,2.03,1
